,RetroID,Last name,First name,Bat Side,Throw Side,Team ID,Games Played,Games as Pitcher,Games at Starting Pitcher,Games at Relief Pitcher,Games at Catcher,Games at 1B,Games at 2B,Games at 3B,Games at SS,Games at LF,Games at CF,Games at RF,Games at OF,Games at DH,Games at Pinch Hitter,Games at Pinch Runner,First Game Played,Last Game Played,Season,Full Name
129035,abboa001,Abbott,Andrew,L,L,CIN,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,20250412,20250927,2025,Andrew Abbott
129036,abboa001,Abbott,Andrew,L,L,NLS,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20250715,20250715,2025,Andrew Abbott
129037,abelm001,Abel,Mick,R,R,MIN,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,20250823,20250927,2025,Mick Abel
129038,abelm001,Abel,Mick,R,R,PHI,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20250518,20250702,2025,Mick Abel
129039,abnep001,Abner,Philip,L,L,ARI,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20250919,20250928,2025,Philip Abner
129040,abrac001,Abrams,CJ,L,R,WAS,144,0,0,0,0,0,0,0,142,0,0,0,0,1,2,0,20250327,20250928,2025,CJ Abrams
129041,abreb002,Abreu,Bryan,R,R,HOU,70,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,20250327,20250926,2025,Bryan Abreu
129042,abrew002,Abreu,Wilyer,L,L,BOS,118,0,0,0,0,0,0,0,0,0,0,106,106,4,19,0,20250327,20251002,2025,Wilyer Abreu
129043,acosm002,Acosta,Maximo,R,R,MIA,19,0,0,0,0,0,6,11,6,0,0,0,0,0,0,0,20250818,20250914,2025,Maximo Acosta
129044,actog001,Acton,Garrett,L,R,TBA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20250914,20250914,2025,Garrett Acton
129045,acunl001,Acuna,Luisangel,R,R,NYN,95,0,0,0,0,0,81,6,7,0,2,0,2,0,4,23,20250327,20250927,2025,Luisangel Acuna
129046,acunr001,Acuna,Ronald,R,R,ATL,95,0,0,0,0,0,0,0,0,0,0,91,91,4,1,0,20250523,20250928,2025,Ronald Acuna
